timestamp,flow_id,id.orig_h,id.resp_h,id.resp_p,threat_class,alert_confidence,alert_reasons,label
1788349151.9269,CWVPJ84wdPLQb4dEj,10.10.10.2,10.10.10.3,5201,data_exfiltration,0.5,per-flow statistical anomaly (Isolation Forest),benign
1788353097.360197,Cr0Vff1l2QjLPPupDk,10.10.10.2,10.10.10.3,9999,data_exfiltration,0.2,unusual port with high outbound/inbound byte ratio,exfil_fast
1788353219.618037,ChtoigzhvhMD4CY09,10.10.10.2,10.10.10.3,9998,data_exfiltration,1.0,per-flow statistical anomaly (Isolation Forest); repeated low-volume channel to new destination (possible slow exfiltration); unusual port with high outbound/inbound byte ratio,exfil_slow
1788353226.158325,CMJyQf2f9pvXdN1sul,10.10.10.2,10.10.10.3,9998,data_exfiltration,0.8,repeated low-volume channel to new destination (possible slow exfiltration); unusual port with high outbound/inbound byte ratio,exfil_slow
1788353232.698921,CzFQEo1QXgIcN5alal,10.10.10.2,10.10.10.3,9998,data_exfiltration,0.8,repeated low-volume channel to new destination (possible slow exfiltration); unusual port with high outbound/inbound byte ratio,exfil_slow
1788353239.233901,CpTPFn2rBqsjE7wblc,10.10.10.2,10.10.10.3,9998,data_exfiltration,0.8,repeated low-volume channel to new destination (possible slow exfiltration); unusual port with high outbound/inbound byte ratio,exfil_slow
1788353245.77378,CkOpJqXOPgtnaN2Ce,10.10.10.2,10.10.10.3,9998,data_exfiltration,0.8,repeated low-volume channel to new destination (possible slow exfiltration); unusual port with high outbound/inbound byte ratio,exfil_slow
1788353252.304232,CdBECS2OEmtFLtoYB9,10.10.10.2,10.10.10.3,9998,data_exfiltration,0.8,repeated low-volume channel to new destination (possible slow exfiltration); unusual port with high outbound/inbound byte ratio,exfil_slow
1788353258.840142,CgYa0K2PZstlsbB7i,10.10.10.2,10.10.10.3,9998,data_exfiltration,0.8,repeated low-volume channel to new destination (possible slow exfiltration); unusual port with high outbound/inbound byte ratio,exfil_slow
1788353265.379811,CzOlLy4QY4ONuznvCh,10.10.10.2,10.10.10.3,9998,data_exfiltration,0.8,repeated low-volume channel to new destination (possible slow exfiltration); unusual port with high outbound/inbound byte ratio,exfil_slow
1788353271.951949,C1Xsb726vj2u6Ow5Re,10.10.10.2,10.10.10.3,9998,data_exfiltration,0.8,repeated low-volume channel to new destination (possible slow exfiltration); unusual port with high outbound/inbound byte ratio,exfil_slow
1788353278.490062,ChDJoKjyvpPYU8Hx6,10.10.10.2,10.10.10.3,9998,data_exfiltration,0.8,repeated low-volume channel to new destination (possible slow exfiltration); unusual port with high outbound/inbound byte ratio,exfil_slow
1788353285.026948,CPqQoY1Uk2zjrTAEj,10.10.10.2,10.10.10.3,9998,data_exfiltration,0.8,repeated low-volume channel to new destination (possible slow exfiltration); unusual port with high outbound/inbound byte ratio,exfil_slow
1788353291.560785,Cl2ZCb2rxwT1ZsPYfi,10.10.10.2,10.10.10.3,9998,data_exfiltration,0.8,repeated low-volume channel to new destination (possible slow exfiltration); unusual port with high outbound/inbound byte ratio,exfil_slow
1788353298.092983,CR59im0XJkteZ5UK4,10.10.10.2,10.10.10.3,9998,data_exfiltration,0.8,repeated low-volume channel to new destination (possible slow exfiltration); unusual port with high outbound/inbound byte ratio,exfil_slow
1788353305.51621,CKgk2BhvrZw0Srmo8,10.10.10.2,10.10.10.3,9998,data_exfiltration,0.8,repeated low-volume channel to new destination (possible slow exfiltration); unusual port with high outbound/inbound byte ratio,exfil_slow
1788353312.041977,CSJ99q2oGVJtes3yj,10.10.10.2,10.10.10.3,9998,data_exfiltration,0.8,repeated low-volume channel to new destination (possible slow exfiltration); unusual port with high outbound/inbound byte ratio,exfil_slow
1788353318.578305,CtwWop4F57mOEAPAg6,10.10.10.2,10.10.10.3,9998,data_exfiltration,0.8,repeated low-volume channel to new destination (possible slow exfiltration); unusual port with high outbound/inbound byte ratio,exfil_slow
1788353325.116838,CLJYQ73kuKXZRdlIw4,10.10.10.2,10.10.10.3,9998,data_exfiltration,0.8,repeated low-volume channel to new destination (possible slow exfiltration); unusual port with high outbound/inbound byte ratio,exfil_slow
1788353331.654839,CbW0YI3D9do70Vvqai,10.10.10.2,10.10.10.3,9998,data_exfiltration,0.8,repeated low-volume channel to new destination (possible slow exfiltration); unusual port with high outbound/inbound byte ratio,exfil_slow
