ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto,label
1788349151.863092,Cp9NqR1UJ4zWC8QW4,10.10.10.2,52666,10.10.10.3,8080,tcp,http,0.014763,89,0,SF,T,T,0,ShADafF,5,365,4,216,-,6,benign
1788349151.9269,CWVPJ84wdPLQb4dEj,10.10.10.2,56016,10.10.10.3,5201,tcp,-,5.132082,30985420837,0,SF,T,T,30809786224,ShADaGGGGGTTGTfF,700527,31027813745,492735,25625264,-,6,benign
1788349151.884986,CVF7gj2JhYpcvn1nVc,10.10.10.2,56002,10.10.10.3,5201,tcp,-,5.174452,435,302,SF,T,T,0,ShADadFf,17,1327,13,986,-,6,benign
1788354392.01688,CzlmpuHm0oXl5H45h,10.10.10.2,59720,10.10.10.3,5201,tcp,-,16.095061,27534535445,0,SF,T,T,27378497440,ShADaGGGGTTGTGfF,618849,27569482001,440842,22926264,-,6,benign
1788354391.970918,CLTjWO3SfGgJ2rTYl9,10.10.10.2,59714,10.10.10.3,5201,tcp,-,16.141419,436,305,SF,T,T,0,ShADadFf,18,1388,14,1041,-,6,benign
1788354411.192876,CH4vKBtaEjvUKfU1a,10.10.10.2,37270,10.10.10.3,5202,tcp,-,2.131292,8561623077,0,SF,T,T,8518013216,ShADaGGGwGTGTfF,189206,8571598189,116645,6065968,-,6,benign
1788354411.145126,CfUJYr4WaQSh4eARwf,10.10.10.2,37264,10.10.10.3,5202,tcp,-,2.179366,432,297,SF,T,T,0,ShADadFf,17,1324,13,981,-,6,benign
1788354416.412477,C3qhF636zSnEyqOaY6,10.10.10.2,32796,10.10.10.3,5203,tcp,-,4.131706,17247764517,0,SF,T,T,17150384040,ShADaGGGGGTTTGfF,386911,17275785273,258130,13429092,-,6,benign
1788354416.367387,CClry92DBim95ewla1,10.10.10.2,32780,10.10.10.3,5203,tcp,-,4.177224,433,299,SF,T,T,0,ShADadFf,17,1325,13,983,-,6,benign
1788354423.650888,CZuVHe2pC1INBa0v14,10.10.10.2,53192,10.10.10.3,8080,tcp,http,0.007235,89,0,SF,T,T,0,ShADafF,4,305,4,216,-,6,benign
