ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto,label,byte_ratio,port_category,is_unusual_port,hour_of_day,bytes_per_second,is_burst,new_channel
1788349151.863092,Cp9NqR1UJ4zWC8QW4,10.10.10.2,52666,10.10.10.3,8080,tcp,http,0.014763,89,0,SF,T,T,0,ShADafF,5,365,4,216,-,6,benign,89.0,http_alt,False,17,6028.584975953397,False,True
1788349151.884986,CVF7gj2JhYpcvn1nVc,10.10.10.2,56002,10.10.10.3,5201,tcp,-,5.174452,435,302,SF,T,T,0,ShADadFf,17,1327,13,986,-,6,benign,1.4356435643564356,iperf3_test,False,17,84.06687316840508,False,True
1788349151.9269,CWVPJ84wdPLQb4dEj,10.10.10.2,56016,10.10.10.3,5201,tcp,-,5.132082,30985420837,0,SF,T,T,30809786224,ShADaGGGGGTTGTfF,700527,31027813745,492735,25625264,-,6,benign,30985420837.0,iperf3_test,False,17,6037592703.507076,False,False
1788353097.360197,Cr0Vff1l2QjLPPupDk,10.10.10.2,55834,10.10.10.3,9999,tcp,-,28.253329,209715200,0,SF,T,T,207747712,ShADaGGGTGwwwFf,8116,210137704,3580,186252,-,6,exfil_fast,209715200.0,unusual,True,18,7422672.209706686,False,True
1788353219.618037,ChtoigzhvhMD4CY09,10.10.10.2,53626,10.10.10.3,9998,tcp,-,0.000812,51200,0,SF,T,T,30864,ShADaGFf,11,51780,9,476,-,6,exfil_slow,51200.0,unusual,True,18,63054187.19211823,True,True
1788353226.158325,CMJyQf2f9pvXdN1sul,10.10.10.2,59514,10.10.10.3,9998,tcp,-,0.000711,51200,0,SF,T,T,32312,ShADaGFf,11,51780,9,476,-,6,exfil_slow,51200.0,unusual,True,18,72011251.7580872,True,False
1788353232.698921,CzFQEo1QXgIcN5alal,10.10.10.2,59520,10.10.10.3,9998,tcp,-,0.000518,51200,0,SF,T,T,30864,ShADaGFf,11,51780,9,476,-,6,exfil_slow,51200.0,unusual,True,18,98841698.84169884,True,False
1788353239.233901,CpTPFn2rBqsjE7wblc,10.10.10.2,57936,10.10.10.3,9998,tcp,-,0.000885,51200,0,SF,T,T,30864,ShADaGFf,11,51780,9,476,-,6,exfil_slow,51200.0,unusual,True,18,57853107.34463277,True,False
1788353245.77378,CkOpJqXOPgtnaN2Ce,10.10.10.2,56626,10.10.10.3,9998,tcp,-,0.000607,51200,0,SF,T,T,30864,ShADaGFf,11,51780,9,476,-,6,exfil_slow,51200.0,unusual,True,18,84349258.6490939,True,False
1788353252.304232,CdBECS2OEmtFLtoYB9,10.10.10.2,56630,10.10.10.3,9998,tcp,-,0.000317,51200,0,SF,T,T,32312,ShADaGFf,11,51780,9,476,-,6,exfil_slow,51200.0,unusual,True,18,161514195.5835962,True,False
1788353258.840142,CgYa0K2PZstlsbB7i,10.10.10.2,44598,10.10.10.3,9998,tcp,-,0.001147,51200,0,SF,T,T,30864,ShADaGFf,11,51780,9,476,-,6,exfil_slow,51200.0,unusual,True,18,44638186.57367045,True,False
1788353265.379811,CzOlLy4QY4ONuznvCh,10.10.10.2,35226,10.10.10.3,9998,tcp,-,0.038262,51200,0,SF,T,T,30864,ShADaGFf,11,51780,9,476,-,6,exfil_slow,51200.0,unusual,True,18,1338142.2821598453,True,False
1788353271.951949,C1Xsb726vj2u6Ow5Re,10.10.10.2,35236,10.10.10.3,9998,tcp,-,0.000632,51200,0,SF,T,T,30864,ShADaGFf,11,51780,9,476,-,6,exfil_slow,51200.0,unusual,True,18,81012658.22784811,True,False
1788353278.490062,ChDJoKjyvpPYU8Hx6,10.10.10.2,36420,10.10.10.3,9998,tcp,-,0.000628,51200,0,SF,T,T,30864,ShADaGFf,11,51780,9,476,-,6,exfil_slow,51200.0,unusual,True,18,81528662.42038217,True,False
1788353285.026948,CPqQoY1Uk2zjrTAEj,10.10.10.2,36422,10.10.10.3,9998,tcp,-,0.000633,51200,0,SF,T,T,30864,ShADaGFf,11,51780,9,476,-,6,exfil_slow,51200.0,unusual,True,18,80884676.14533965,True,False
1788353291.560785,Cl2ZCb2rxwT1ZsPYfi,10.10.10.2,51414,10.10.10.3,9998,tcp,-,0.00029,51200,0,SF,T,T,32312,ShADaGFf,12,51832,10,528,-,6,exfil_slow,51200.0,unusual,True,18,176551724.13793102,True,False
1788353298.092983,CR59im0XJkteZ5UK4,10.10.10.2,45144,10.10.10.3,9998,tcp,-,0.001014,51200,0,SF,T,T,32312,ShADaGFf,11,51780,9,476,-,6,exfil_slow,51200.0,unusual,True,18,50493096.6469428,True,False
1788353305.51621,CKgk2BhvrZw0Srmo8,10.10.10.2,45150,10.10.10.3,9998,tcp,-,0.000613,51200,0,SF,T,T,30864,ShADaGFf,11,51780,9,476,-,6,exfil_slow,51200.0,unusual,True,18,83523654.15986949,True,False
1788353312.041977,CSJ99q2oGVJtes3yj,10.10.10.2,39568,10.10.10.3,9998,tcp,-,0.000985,51200,0,SF,T,T,30864,ShADaGFf,11,51780,9,476,-,6,exfil_slow,51200.0,unusual,True,18,51979695.431472085,True,False
1788353318.578305,CtwWop4F57mOEAPAg6,10.10.10.2,34882,10.10.10.3,9998,tcp,-,0.000542,51200,0,SF,T,T,30864,ShADaGFf,11,51780,9,476,-,6,exfil_slow,51200.0,unusual,True,18,94464944.6494465,True,False
1788353325.116838,CLJYQ73kuKXZRdlIw4,10.10.10.2,34898,10.10.10.3,9998,tcp,-,0.001104,51200,0,SF,T,T,32312,ShADaGFf,11,51780,9,476,-,6,exfil_slow,51200.0,unusual,True,18,46376811.5942029,True,False
1788353331.654839,CbW0YI3D9do70Vvqai,10.10.10.2,47730,10.10.10.3,9998,tcp,-,0.000548,51200,0,SF,T,T,32312,ShADaGFf,11,51780,9,476,-,6,exfil_slow,51200.0,unusual,True,18,93430656.93430658,True,False
1788353338.189749,CiM6ha1gWZb1ZKxgRe,10.10.10.2,37446,10.10.10.3,9998,tcp,-,0.000413,51200,0,SF,T,T,30864,ShADaGFf,12,51832,10,528,-,6,exfil_slow,51200.0,unusual,True,18,123970944.30992736,True,False
1788353344.727548,C9wqvq32Re3SYPkk4,10.10.10.2,37462,10.10.10.3,9998,tcp,-,0.000309,51200,0,SF,T,T,30864,ShADaGFf,11,51780,9,476,-,6,exfil_slow,51200.0,unusual,True,18,165695792.88025892,True,False
